title,year,creator,tags,summary,url,thumbnail
Three Stooges Episodes,,,three stooges | comedy | public domain,4 Episodes Of The 3 Stooges. Downloads include: Disorder In The Court Brideless Groom Sing A Song Of Six Pants Malice In The Palace,https://archive.org/details/3stooges,https://archive.org/services/img/3stooges
Suddenly,1954,,crime | drama | Frank Sinatra | Sterling Hayden | James Gleason | Nancy Gates | Kim Charney,"""Three gunmen, who have been hired to assassinate the President, hold a family hostage while waiting for their target. Interesting B film which focuses on psychopathic killer well-portrayed against type by Frank Sinatra."" - noir expert…",https://archive.org/details/suddenly,https://archive.org/services/img/suddenly
Recurring Dinosaur Infestation Films,,Megamedia,Raymond Burr | George Takei,A collection of large dinosaur films.,https://archive.org/details/RecurringDinosaurInfestationFilms,https://archive.org/services/img/RecurringDinosaurInfestationFilms
The Stranger,1946,Sam Spiegel,Drama | Film-Noir | Mystery | Thriller | pdmovies,"Set Connecticut after World War II, The Stranger is a cat and mouse game between Wilson (Edward G. Robinson), a member of the Allied War Crimes Commission and Franz Kindler (Orson Welles), a Nazi who has assumed the false identity of Dr.…",https://archive.org/details/TheStranger_0,https://archive.org/services/img/TheStranger_0
Tarzan's Revenge,1938,,adventure,You can find more information regarding this film on its IMDb page .,https://archive.org/details/tarzans_revenge,https://archive.org/services/img/tarzans_revenge
McLintock!,1963,Michael Wayne,John Wayne | comedy | western,John Wayne Comedy Western filmed in widescreeen.,https://archive.org/details/mclintok_widescreen,https://archive.org/services/img/mclintok_widescreen
Mclintock,1963,"Andrew McLaglen, director",John Wayne | comedy | western | pdmovies,"This great comedy western stars John Wayne,Maureen O'Hara,Patrick Wayne, Stefanie Powers,Chill Wills, and Strother Marten. There is a hilarious mudhole fight scene at the end.",https://archive.org/details/Mclintock.avi,https://archive.org/services/img/Mclintock.avi
My Favorite Brunette,1947,Daniel Dare,Comedy | pdmovies,Bob Hope comedy with Dorothy Lamour. | You can find more information regarding this film on its IMDb page .,https://archive.org/details/my_favorite_brunette,https://archive.org/services/img/my_favorite_brunette
The Naked Witch,,,Horror | Larry Buchanan | schlock,"One of Larry Buchanan's first films, so don't expect the polish and complex character interactions of his later work, like ""Mars Needs Women"" or ""Zontar, the Thing from Venus.""",https://archive.org/details/TheNakedWitch,https://archive.org/services/img/TheNakedWitch
Gulliver's Travels,1939,Max Fleischer,animation,You can find more information regarding this film on its IMDb page .,https://archive.org/details/gullivers_travels1939,https://archive.org/services/img/gullivers_travels1939
The Phantom of the Opera,1925,Carl Laemmle,silent | drama | horror | pdmovies,"At the Opera of Paris, a mysterious phantom threatens a famous lyric singer, Carlotta and thus forces her to give up her role (Marguerite in Faust) for unknown Christine Daae. Christine meets this phantom (a masked man) in the catacombs,…",https://archive.org/details/ThePhantomoftheOpera,https://archive.org/services/img/ThePhantomoftheOpera
